founder	side	K_f	lev_sum	lev_mean	lev_median	lev_p25	lev_p75	lev_p90	frac_low_ac	frac_v_low_ac	cov
10002	cactus	2245446	52158.95941513744	0.023228774780216243	0.0045871559633027525	0.004366812227074236	0.0078125	0.041666666666666664	0.05229562412099868	0.018322417907177462	23.30542917777778
10006	cactus	2118324	52644.42260903882	0.02485192190101175	0.004545454545454545	0.004366812227074236	0.006711409395973154	0.034482758620689655	0.05442085346717499	0.026352909186696652	11.86896865925926
159	cactus	2233855	46074.988539927326	0.020625774072143145	0.0045871559633027525	0.004366812227074236	0.0078125	0.04	0.04359951742615344	0.013247950292207865	30.709826666666668
5784	cactus	2232220	55631.145012238405	0.024921891664906867	0.0045871559633027525	0.004366812227074236	0.008771929824561403	0.05263157894736842	0.057169992205069395	0.018969456415586276	29.633573333333334
5811	cactus	2268600	50270.80943391689	0.022159397616995896	0.004608294930875576	0.004366812227074236	0.00847457627118644	0.041666666666666664	0.04763775015428017	0.015732610420523672	35.60337481481481
6150	cactus	2236625	50515.33554022541	0.022585518600670835	0.0045871559633027525	0.004366812227074236	0.007936507936507936	0.043478260869565216	0.051818252948080255	0.01633130274408987	34.70010026666667
6184	cactus	2274493	55687.878942900716	0.024483644901479456	0.004608294930875576	0.004366812227074236	0.009523809523809525	0.058823529411764705	0.06192369024657363	0.016118317356879092	43.9829936
6244	cactus	2258986	54031.789312489025	0.02391860299819876	0.0045871559633027525	0.004366812227074236	0.009009009009009009	0.05263157894736842	0.056176532302546364	0.015600362286441793	21.2674752
6898	cactus	2253101	47480.231480993236	0.021073281437890817	0.0045871559633027525	0.004366812227074236	0.007874015748031496	0.04	0.044676204040564535	0.013771242389932808	13.075858014814814
6911	cactus	2103355	69485.65584077586	0.03303562919277814	0.0045662100456621	0.004366812227074236	0.0078125	0.0625	0.07926669535099876	0.041524611870083744	55.14074201481481
6915	cactus	2300817	50046.777325214025	0.021751741805286568	0.004608294930875576	0.004366812227074236	0.00847457627118644	0.041666666666666664	0.045668994970047595	0.015248931140547033	17.955377496296297
6929	cactus	2261910	45864.51496255194	0.020276896500104752	0.004608294930875576	0.004366812227074236	0.008771929824561403	0.05263157894736842	0.05009704188053459	0.006214217188128617	17.526298074074074
6932	cactus	2279634	63974.73647231584	0.028063599890296356	0.004608294930875576	0.004366812227074236	0.008403361344537815	0.05263157894736842	0.06768411069496244	0.026801670794522277	39.946555555555555
6938	cactus	2275290	57739.29621553158	0.025376675595432486	0.004608294930875576	0.004366812227074236	0.00847457627118644	0.05263157894736842	0.05338308523309117	0.02149176588478831	24.189929437037037
6939	cactus	2271375	50636.409322148225	0.02229328460608584	0.004608294930875576	0.004366812227074236	0.008064516129032258	0.04	0.048236420670298825	0.016589070496945683	74.89511481481482
6945	cactus	2265437	52447.64289712325	0.023151225523871666	0.004608294930875576	0.004366812227074236	0.008333333333333333	0.041666666666666664	0.049288945135088726	0.01854035225874743	30.494561911111113
6958	cactus	2231056	49586.44677418082	0.022225550041854985	0.0045871559633027525	0.004366812227074236	0.007462686567164179	0.04	0.04891719436894457	0.01674364067957057	21.460596711111112
6963	cactus	2269341	53590.96102052661	0.02361520856518549	0.004608294930875576	0.004366812227074236	0.008849557522123894	0.05555555555555555	0.0583772998416721	0.013190172829909651	13.20188357037037
6979	cactus	2239606	55152.84129642875	0.0246261357115621	0.0045871559633027525	0.004366812227074236	0.007936507936507936	0.045454545454545456	0.059029132802823354	0.019738739760475726	21.44541828148148
7000	cactus	2286557	52913.85541352187	0.023141279842803775	0.004608294930875576	0.004366812227074236	0.008130081300813009	0.041666666666666664	0.0532945384698479	0.016747450424371663	13.5433728
7002	cactus	2246467	48174.41453937838	0.02144452357385102	0.0045871559633027525	0.004366812227074236	0.007874015748031496	0.041666666666666664	0.046894968855540724	0.014959044579777935	76.98606642962963
7003	cactus	2274317	50373.731906839326	0.022148949291958566	0.004608294930875576	0.004366812227074236	0.007936507936507936	0.038461538461538464	0.0485785402826431	0.01662653007474332	15.782472474074074
7025	cactus	2242606	52472.694654298095	0.02339808894397772	0.0045871559633027525	0.004366812227074236	0.007575757575757576	0.038461538461538464	0.051286316009142935	0.02063893523873565	15.495578607407408
7063	cactus	2192375	64070.31351418295	0.02922415805424845	0.0045871559633027525	0.004366812227074236	0.008064516129032258	0.058823529411764705	0.06927145219225725	0.029637721648896744	23.36829217777778
7092	cactus	2243782	50519.29845011925	0.022515243660087857	0.0045871559633027525	0.004366812227074236	0.007751937984496124	0.041666666666666664	0.05072417908691664	0.016292581008315425	16.877215214814814
7127	cactus	2248575	61632.45680144931	0.02740956241239421	0.0045871559633027525	0.004366812227074236	0.007936507936507936	0.05263157894736842	0.06491889307672637	0.02659728939439423	15.589929066666667
7143	cactus	2266896	50655.85607817626	0.022345910918796563	0.0045871559633027525	0.004366812227074236	0.008333333333333333	0.043478260869565216	0.048610081803488116	0.016236298445098496	28.993184192592594
7164	cactus	2085750	91442.84133107055	0.04384170745826228	0.0045662100456621	0.004366812227074236	0.010101010101010102	0.1111111111111111	0.10247009469015941	0.05961260937312717	14.558546992592593
7186	cactus	2228563	58464.29840302658	0.02623407927127327	0.0045871559633027525	0.004366812227074236	0.007692307692307693	0.047619047619047616	0.06087869178479585	0.024791760430375988	21.7984676
7217	cactus	2249479	50614.981011996984	0.022500757291798228	0.0045871559633027525	0.004366812227074236	0.007874015748031496	0.041666666666666664	0.04907936459953616	0.01648114963509328	17.05241056296296
7255	cactus	2266258	53865.373692297275	0.023768420758932686	0.0045871559633027525	0.004366812227074236	0.007936507936507936	0.043478260869565216	0.054765609211307804	0.01859232267464693	13.579797140740741
7288	cactus	2268363	51215.99693248596	0.02257839549158841	0.0045871559633027525	0.004366812227074236	0.008	0.04	0.05150322060446234	0.01771497771741119	25.213260622222222
7298	cactus	2287954	59072.539922924145	0.025818936885498637	0.004608294930875576	0.004366812227074236	0.008264462809917356	0.047619047619047616	0.06086966783423093	0.023844010849868483	14.248919896296297
7316	cactus	2270431	47724.85886161683	0.021020175843977126	0.0045871559633027525	0.004366812227074236	0.008064516129032258	0.034482758620689655	0.042696739077294134	0.015800083772640524	14.39008797037037
7323	cactus	2220777	53033.0908886913	0.02388042153205446	0.0045871559633027525	0.004366812227074236	0.007751937984496124	0.045454545454545456	0.049621821551646114	0.020627014779061564	24.325460962962964
7346	cactus	2237901	50201.84928896516	0.022432560371957993	0.0045871559633027525	0.004366812227074236	0.007633587786259542	0.038461538461538464	0.04847578154708363	0.018516458056008732	17.81691111111111
7347	cactus	2267850	59933.99358736724	0.026427670960322436	0.004608294930875576	0.004366812227074236	0.008333333333333333	0.05	0.06260863813744295	0.024752518905571355	19.766903022222223
7372	cactus	2234896	52117.00320956965	0.023319654789113072	0.0045871559633027525	0.004366812227074236	0.007518796992481203	0.041666666666666664	0.05427545621809695	0.01896285106779018	25.243688622222223
7378	cactus	2276526	52300.387188086264	0.02297377108281929	0.004608294930875576	0.004366812227074236	0.008	0.038461538461538464	0.050946925271224665	0.018652982658665	13.397002103703704
7411	cactus	2260140	52033.50561793009	0.02302224889517025	0.0045871559633027525	0.004366812227074236	0.007751937984496124	0.041666666666666664	0.051822453476333324	0.018511242666383498	14.286023555555555
763	cactus	2286477	58043.8479055531	0.025385712563718375	0.004608294930875576	0.004366812227074236	0.009259259259259259	0.058823529411764705	0.06255300184519678	0.01865796157144813	28.308100444444445
765	cactus	2287123	58215.00391926746	0.025453376980279354	0.004608294930875576	0.004366812227074236	0.009009009009009009	0.058823529411764705	0.06535372168440438	0.017761178563636498	12.430960296296297
766	cactus	2274077	54784.79660871163	0.024091003342767914	0.004608294930875576	0.004366812227074236	0.00909090909090909	0.058823529411764705	0.05942366947117446	0.014205763481183794	15.253067881481481
768	cactus	2277355	52652.03318337509	0.02311981802721802	0.004608294930875576	0.004366812227074236	0.009345794392523364	0.058823529411764705	0.060799919204515766	0.009543966575259457	14.152081096296296
772	cactus	2286765	50609.05428284809	0.022131287772398166	0.004608294930875576	0.004366812227074236	0.009433962264150943	0.05555555555555555	0.05201102868025355	0.009651188469300518	20.485448444444444
8214	cactus	2247494	46761.89992147802	0.02080624015969699	0.0045871559633027525	0.004366812227074236	0.007936507936507936	0.04	0.04331046045061744	0.013496810225077352	14.219139111111112
8230	cactus	2219612	55903.71298509214	0.025186254617965725	0.0045871559633027525	0.004366812227074236	0.008064516129032258	0.047619047619047616	0.059524817851047844	0.02109647992532028	31.674893807407408
8231	cactus	2243495	53270.658765975415	0.023744496317564968	0.0045871559633027525	0.004366812227074236	0.008	0.045454545454545456	0.05390874506071999	0.01892092471790666	25.400334933333333
8247	cactus	2238667	47076.15697283626	0.02102865543327179	0.0045871559633027525	0.004366812227074236	0.007751937984496124	0.041666666666666664	0.045980934189854945	0.013379837197760988	22.185413333333333
8249	cactus	2237591	54122.16275632629	0.024187692369305333	0.0045871559633027525	0.004366812227074236	0.0078125	0.043478260869565216	0.05771027859872515	0.019181789701513817	25.008726637037036
8351	cactus	2256614	48145.63840434989	0.021335345080882195	0.0045871559633027525	0.004366812227074236	0.008849557522123894	0.05263157894736842	0.04842077555133487	0.010143515904802504	51.77632444444444
8354	cactus	2284308	64071.785858494135	0.02804866325315769	0.004608294930875576	0.004366812227074236	0.00909090909090909	0.058823529411764705	0.06403733647126394	0.026206623625185395	16.6252868
8387	cactus	2302036	49477.03064717886	0.02149272671981622	0.004608294930875576	0.004366812227074236	0.00847457627118644	0.04	0.04492110462216924	0.015132691235063223	23.673987614814816
