label	n	MAE	RMSE	R2	slope	intercept	sample	n_svs_in_bin
SV_all	17000	0.016277736470588236	0.03383797007174737	0.9324297080388506	0.9160754029684113	0.0017750712843858686	MLFH040520190208	17102
1.untagged_<0.2	180	0.02080822222222222	0.04203573737507963	0.9768579915942892	0.9021844580819327	0.0021456129387876018	MLFH040520190221	180
2.weak_0.2-0.5	3846	0.01583886375455018	0.032431956569751966	0.9567376318035935	0.9225916441306312	0.0005845087167643807	MLFH040520190221	3890
3.medium_0.5-0.8	5138	0.015377319968859477	0.030779607949604153	0.9472822408612328	0.9061399945930463	0.0010107856245515443	MLFH040520190221	5169
4.strong_>=0.8	7697	0.013997761465506041	0.02912237903123871	0.9244049165078638	0.8870637224589516	0.0010063116190830808	MLFH040520190221	7733
SV_all	16861	0.014910811339778186	0.030571908193065243	0.9448430227760004	0.905892853675215	0.0007942711426332541	MLFH040520190221	16972
1.untagged_<0.2	175	0.024151999999999996	0.061667961628616944	0.9513806858919208	0.8736480141580933	0.006121960770805906	MLFH040520200206	175
2.weak_0.2-0.5	3746	0.01649708489054992	0.03968965360733662	0.9497191657160242	0.9250474401664422	0.0006920793881780955	MLFH040520200206	3782
3.medium_0.5-0.8	5029	0.016134764366673295	0.03864785382796894	0.9416230318291575	0.9163443620044346	0.0011945309239586922	MLFH040520200206	5060
4.strong_>=0.8	7673	0.01493590903166949	0.03797321280276817	0.9199568633002401	0.8824946971472222	0.0015209760875015564	MLFH040520200206	7704
SV_all	16623	0.015747436684112374	0.03889085627804231	0.9370072151891466	0.9061598297224789	0.0012055931991904005	MLFH040520200206	16721
1.untagged_<0.2	190	0.016626421052631575	0.025866240892227402	0.9885659101385276	0.9560605730753878	0.0009586490425893716	MLFH040620180306	190
2.weak_0.2-0.5	3991	0.015413410172889	0.02775923098964662	0.9668478177343409	0.9346388067788451	0.0010199201289074551	MLFH040620180306	4039
3.medium_0.5-0.8	5360	0.014963173507462684	0.026400181306266278	0.9565917119918197	0.9221480228873048	0.0014285938710512462	MLFH040620180306	5393
4.strong_>=0.8	7979	0.01359168066173706	0.02422744445396628	0.9401226350205701	0.9079749929290606	0.001144929766535225	MLFH040620180306	8016
SV_all	17520	0.014459164954337899	0.025755335246481957	0.9567956726733693	0.9239964919092152	0.0010583285787753949	MLFH040620180306	17638
1.untagged_<0.2	193	0.015318704663212434	0.026928255505316075	0.9867179526045285	0.9554564079194321	0.0030060229043063057	MLFH040620180321	193
2.weak_0.2-0.5	4021	0.013419395672718229	0.023316907922170605	0.9739906478947444	0.9485882766861568	0.001065817703729333	MLFH040620180321	4070
3.medium_0.5-0.8	5349	0.01342369601794728	0.02280637118010964	0.9633215779129022	0.9421779539800982	0.001074203721529249	MLFH040620180321	5380
4.strong_>=0.8	7929	0.012654880817253121	0.02140223430821607	0.9471418006101067	0.9201759094050256	0.0008822034291955599	MLFH040620180321	7969
SV_all	17492	0.01309511776812257	0.022353240928893382	0.9635816474564259	0.9391523776240442	0.0008512411813234631	MLFH040620180321	17612
1.untagged_<0.2	167	0.016785688622754487	0.03598773797324774	0.9840060183512606	0.9305110995858374	0.00041157178741735436	MLFH040620190208	167
2.weak_0.2-0.5	3580	0.016277382681564246	0.034621317612307745	0.9583756035785725	0.930890674563769	0.0017798676066097894	MLFH040620190208	3613
3.medium_0.5-0.8	4751	0.01601877288991791	0.03450526798584522	0.9461135704480993	0.929245923726589	0.0020241591038111717	MLFH040620190208	4773
