panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct	read_count	base_count	library_layout	instrument_model	clump_in	clump_out	dup_count	dup_pct	gz_r1	gz_r2	n_r1	n_r2	pair_ok	bases_total	cov_est	lmean_r1	lmean_r2	qc_reads_total	trim_out	clump_in_pairs	clump_out_pairs	qc_reads_pairs	pct_ena_to_trim_in	pct_trim_surv	pct_clump_link	pct_clump_keep	pct_qc_link	flag_ena_link	flag_low_trim	flag_high_dup	flag_clump_link	flag_qc_link	flag_low_cov
main	6209	PE	40404632	36582007.0	2116398.0	1166277.0		539950	1.34	40404632.0	6141504064.0	PAIRED	Illumina Genome Analyzer IIx	73164014	64349584	8814430	12.047	OK	OK	32174792.0	32174792.0	yes	4750308760.0	39.69	73.9	73.7	64349584.0	36582007.0	36582007.0	32174792.0	32174792.0	100.0	90.53914165088794	100.0	87.95250626899721	100.0	False	False	False	False	False	False
main	6216	PE	74276791	68128818.0	3087771.0	1728337.0		1331865	1.79	74276791.0	11290072232.0	PAIRED	Illumina HiSeq 2000	136257636	94376352	41881284	30.737	OK	OK	47188176.0	47188176.0	yes	6911009930.0	57.74	73.0	73.4	94376352.0	68128818.0	68128818.0	47188176.0	47188176.0	100.0	91.72288824378533	100.0	69.26316555205757	100.0	False	False	False	False	False	False
main	6243	PE	22300557	18626034.0	2101235.0	842183.0		731105	3.28	22300557.0	3389684664.0	PAIRED	Illumina Genome Analyzer IIx	37252068	31013178	6238890	16.748	OK	OK	15506589.0	15506589.0	yes	2235025279.0	18.67	74.4	69.7	31013178.0	18626034.0	18626034.0	15506589.0	15506589.0	100.0	83.52272994795601	100.0	83.25223179556099	100.0	False	False	False	False	False	False
main	6940	PE	10195518	8452453.0	734136.0	421591.0		587338	5.76	10195518.0	2059494636.0	PAIRED	Illumina HiSeq 2000	16904906	16838610	66296	0.392	OK	OK	8419305.0	8419305.0	yes	1577429522.0	13.18	93.2	94.2	16838610.0	8452453.0	8452453.0	8419305.0	8419305.0	100.0	82.90361509832064	100.0	99.60782982170974	100.0	False	False	False	False	False	False
main	6961	PE	13228869	11662744.0	267631.0	612648.0		685846	5.18	13228869.0	2672231538.0	PAIRED	Illumina HiSeq 2000	23325488	23137204	188284	0.807	OK	OK	11568602.0	11568602.0	yes	2244571310.0	18.75	96.8	97.3	23137204.0	11662744.0	11662744.0	11568602.0	11568602.0	100.0	88.16130842326733	100.0	99.1927971667731	100.0	False	False	False	False	False	False
main	6987	PE	8524299	7107156.0	751891.0	296958.0		368294	4.32	8524299.0	1721908398.0	PAIRED	Illumina HiSeq 2000	14214312	14162018	52294	0.368	OK	OK	7081009.0	7081009.0	yes	1339056487.0	11.19	95.2	93.9	14162018.0	7107156.0	7107156.0	7081009.0	7081009.0	100.0	83.37525466903496	100.0	99.63210319289459	100.0	False	False	False	False	False	False
main	7008	PE	9753320	8593591.0	579754.0	297135.0		282840	2.9	9753320.0	1970170640.0	PAIRED	Illumina HiSeq 2000	17187182	17155290	31892	0.186	OK	OK	8577645.0	8577645.0	yes	1602889454.0	13.39	94.2	92.7	17155290.0	8593591.0	8593591.0	8577645.0	8577645.0	100.0	88.10939249404306	100.0	99.81444311231475	100.0	False	False	False	False	False	False
main	7013	PE	10573164	8792721.0	952066.0	367744.0		460633	4.36	10573164.0	2135779128.0	PAIRED	Illumina HiSeq 2000	17585442	17526272	59170	0.336	OK	OK	8763136.0	8763136.0	yes	1653305949.0	13.81	94.9	93.7	17526272.0	8792721.0	8792721.0	8763136.0	8763136.0	100.0	83.16073599161045	100.0	99.66352850272402	100.0	False	False	False	False	False	False
main	7028	PE	11376638	9963059.0	301444.0	466742.0		645393	5.67	11376638.0	2298080876.0	PAIRED	Illumina HiSeq 2000	19926118	19786642	139476	0.7	OK	OK	9893321.0	9893321.0	yes	1918107548.0	16.02	96.5	97.4	19786642.0	9963059.0	9963059.0	9893321.0	9893321.0	100.0	87.57472110829228	100.0	99.30003425654711	100.0	False	False	False	False	False	False
main	7031	PE	8484263	7491131.0	395850.0	374474.0		222808	2.63	8484263.0	1713821126.0	PAIRED	Illumina HiSeq 2000	14982262	14945362	36900	0.246	OK	OK	7472681.0	7472681.0	yes	1401519207.0	11.71	92.8	94.7	14945362.0	7491131.0	7491131.0	7472681.0	7472681.0	100.0	88.29442227333124	100.0	99.75370875239	100.0	False	False	False	False	False	False
