sample	n_records	n_called	n_missing	hom_ref	het	hom_alt	compound_het	median_gq	mean_gq	gq_ge30_pct	gq_ge100_pct	gq_max_n	SNP_hom_ref	SNP_het	SNP_hom_alt	SNP_compound_het	SNP_missing	small_indel_hom_ref	small_indel_het	small_indel_hom_alt	small_indel_compound_het	small_indel_missing	small_sv_hom_ref	small_sv_het	small_sv_hom_alt	small_sv_compound_het	small_sv_missing	medium_sv_hom_ref	medium_sv_het	medium_sv_hom_alt	medium_sv_compound_het	medium_sv_missing	large_sv_hom_ref	large_sv_het	large_sv_hom_alt	large_sv_compound_het	large_sv_missing
9625	5214599	5214354	245	4550956	34614	624680	4104	10000	7294.6	98.07	93.88	3783334	3395632	19971	372316	83	63	1124642	13836	229496	2441	120	18190	554	13011	703	22	10105	182	6781	556	21	2387	71	3076	321	19
9748	5214599	5214181	418	4560155	163263	477640	13123	10000	6607.1	95.04	86.81	3423634	3402833	97250	287617	311	54	1126212	62466	173889	7755	213	18420	2393	9354	2265	48	10246	866	4724	1752	57	2444	288	2056	1040	46
9507	5214599	5214071	528	4428914	324112	439398	21647	10000	7115.6	97.0	91.03	3690039	3318688	202209	266256	665	247	1081141	116611	158972	13597	214	17008	3744	8280	3422	26	9776	1209	4180	2456	24	2301	339	1710	1507	17
7125	5214599	5214089	510	4638730	41026	530141	4192	10000	7243.6	97.84	93.25	3756447	3449903	23167	314675	79	241	1155964	16816	195136	2413	206	19571	685	11425	768	31	10696	262	6121	545	21	2596	96	2784	387	11
6013	5214599	5213991	608	4547219	48140	613574	5058	10000	7135.5	97.61	92.43	3699610	3392169	27088	368419	90	299	1124108	19945	223277	2978	227	18338	759	12466	884	33	10182	274	6483	674	32	2422	74	2929	432	17
6987	5214599	5214425	174	4658354	39401	512729	3941	10000	7091.6	98.06	93.49	3676001	3461942	22213	303799	78	33	1162553	16073	189571	2229	109	20227	741	10808	693	11	10986	282	5779	587	11	2646	92	2772	354	10
9741	5214599	5214388	211	4592806	80077	533586	7919	10000	6893.8	96.25	89.44	3573883	3422325	46316	319207	171	46	1138721	31787	195260	4701	66	18880	1341	10895	1323	41	10412	490	5664	1045	34	2468	143	2560	679	24
9619	5214599	5214282	317	4549005	35987	625259	4031	10000	7266.5	98.13	93.94	3768238	3394632	20586	372693	65	89	1123798	14610	229571	2373	183	18104	549	13138	676	13	10060	190	6838	540	17	2411	52	3019	377	15
7008	5214599	5214150	449	4638425	32931	539027	3767	10000	7189.7	98.09	93.67	3727682	3447623	18854	321274	93	221	1157864	13136	197274	2079	182	19632	629	11526	677	16	10708	229	6120	571	17	2598	83	2833	347	13
7296	5214599	5214421	178	4633104	43315	533164	4838	10000	7183.1	97.81	92.93	3724840	3447116	24223	316559	99	68	1153103	17898	196584	2904	46	19585	806	11287	772	30	10690	299	5961	678	17	2610	89	2773	385	17
7287	5214599	5213873	726	4650957	21378	539255	2283	10000	7431.8	98.33	94.63	3855044	3456371	12014	319281	51	348	1161239	8773	198895	1307	321	19919	374	11739	423	25	10802	173	6320	328	22	2626	44	3020	174	10
7404	5214599	5214428	171	4637348	43019	529487	4574	10000	7039.9	97.85	92.83	3649050	3448420	24626	314841	95	83	1155940	17257	194650	2642	46	19697	736	11235	799	13	10670	308	6011	636	20	2621	92	2750	402	9
6940	5214599	5214486	113	4702757	36721	471194	3814	10000	7090.6	97.93	93.07	3675814	3488131	20706	279123	64	41	1179761	14860	173871	2016	27	20744	756	10211	755	14	11293	301	5427	608	16	2828	98	2562	371	15
6243	5214599	5214246	353	4633567	68497	505231	6951	10000	6913.2	96.97	91.01	3583073	3447964	39231	300623	149	98	1153058	27409	185874	4012	182	19414	1253	10537	1247	29	10595	457	5639	926	28	2536	147	2558	617	16
7062	5214599	5214095	504	4705252	26098	480082	2663	10000	7391.6	98.33	94.42	3834059	3489712	14337	283724	58	234	1180301	11003	177524	1494	213	20999	512	10466	484	19	11413	186	5637	386	23	2827	60	2731	241	15
9781	5214599	5214393	206	4630749	45620	533184	4840	10000	7252.1	97.69	93.04	3761289	3446048	25636	316210	102	69	1152051	18802	196707	2909	66	19463	805	11335	859	18	10607	278	6137	590	33	2580	99	2795	380	20
5165	5214599	5214260	339	4618450	51558	539006	5246	10000	7070.6	97.73	92.76	3665242	3437643	29935	320285	114	88	1148372	20286	198687	2982	208	19326	931	11276	930	17	10532	298	6029	769	17	2577	108	2729	451	9
100001	5214599	5214320	279	4454182	100872	649596	9670	10000	6590.6	94.61	85.7	3415540	3333477	57776	396572	204	36	1090935	40726	232686	6097	91	17409	1602	11826	1585	58	9981	559	5859	1181	65	2380	209	2653	603	29
9699	5214599	5214339	260	4611094	67086	529153	7006	10000	6887.8	96.46	89.68	3570463	3434877	37880	315105	148	55	1144192	27519	194655	4066	103	19108	1154	10959	1224	35	10434	405	5758	1015	33	2483	128	2676	553	34
9371	5214599	5214351	248	4553998	36721	619533	4099	10000	7298.3	97.85	93.35	3785569	3396408	20774	370754	75	54	1126544	15024	226342	2494	131	18402	643	12692	723	20	10236	226	6641	519	23	2408	54	3104	288	20
7106	5214599	5214348	251	4645454	42675	521383	4836	10000	7084.0	97.72	92.84	3672486	3454847	23916	309132	96	74	1157570	17604	192511	2723	127	19761	794	11050	854	21	10689	273	5945	717	21	2587	88	2745	446	8
9634	5214599	5214460	139	4515260	117303	572773	9124	10000	7133.4	97.62	92.6	3698697	3372641	72733	342447	215	29	1112429	42485	210167	5413	41	17785	1486	11625	1567	17	10030	452	5889	1251	23	2375	147	2645	678	29
9523	5214599	5214418	181	4591435	40785	577586	4612	10000	7194.8	97.49	92.25	3731503	3421291	22829	343809	75	61	1138406	16933	212496	2654	46	18821	689	12094	847	29	10399	261	6323	644	18	2518	73	2864	392	27
9524	5214599	5214284	315	4541289	54645	612397	5953	10000	7075.6	97.32	91.85	3668607	3387120	31512	369217	123	93	1122984	21871	221900	3621	159	18432	854	12177	989	28	10265	315	6261	780	24	2488	93	2842	440	11
8240	5214599	5214412	187	4602877	55752	549797	5986	10000	6983.0	97.28	91.39	3619818	3427074	31324	329491	120	56	1143822	23009	200154	3465	85	19056	942	11373	1098	11	10429	360	6023	811	22	2496	117	2756	492	13
7218	5214599	5214379	220	4644367	46438	518978	4596	10000	7051.6	97.72	92.59	3655370	3453009	26243	308670	90	53	1158181	18838	190777	2617	122	19712	914	11009	832	13	10807	319	5868	633	18	2658	124	2654	424	14
9587	5214599	5214447	152	4605618	44681	559163	4985	10000	7135.9	97.54	92.21	3700432	3430707	25073	332147	93	45	1142798	18399	206438	2862	38	19188	819	11550	893	30	10425	295	6185	713	27	2500	95	2843	424	12
9719	5214599	5214371	228	4596790	81891	527233	8457	10000	6647.6	95.79	87.83	3444426	3426229	45803	315788	175	70	1138946	33899	192665	4948	77	18821	1500	10675	1458	26	10348	521	5553	1188	35	2446	168	2552	688	20
8311	5214599	5214441	158	4603170	53148	552433	5690	10000	7011.6	97.26	91.64	3634875	3428178	30472	329259	118	38	1143186	21318	202701	3289	41	18966	909	11543	1038	24	10378	337	6138	758	34	2462	112	2792	487	21
9697	5214599	5214339	260	4596450	80537	529840	7512	10000	7000.9	96.54	90.1	3630125	3424263	46660	316910	179	53	1140394	31972	193657	4432	80	18817	1346	10995	1282	40	10491	413	5690	1013	38	2485	146	2588	606	49
9574	5214599	5214239	360	4458168	149167	594858	12046	10000	6867.0	95.99	88.69	3560047	3337188	89740	360724	332	81	1091237	56544	215101	7466	187	17399	2014	11157	1884	26	9981	650	5513	1472	29	2363	219	2363	892	37
9481	5214599	5213986	613	4614857	45568	548534	5027	10000	7158.8	97.55	92.56	3711902	3435224	25432	327020	90	299	1147296	18885	201138	2980	236	19202	859	11524	867	28	10580	301	6071	666	27	2555	91	2781	424	23
6195	5214599	5214175	424	4604397	44265	560898	4615	10000	7230.8	97.61	92.79	3749986	3428395	25060	334343	97	170	1144060	18041	205480	2777	177	19020	824	11833	770	33	10408	248	6372	589	28	2514	92	2870	382	16
9857	5214599	5214506	93	4555374	101305	548851	8976	10000	6532.4	96.24	88.85	3382875	3398095	59838	329910	217	5	1126104	39191	200039	5172	29	18458	1582	10882	1543	15	10280	518	5543	1278	26	2437	176	2477	766	18
