panel	ecotype	n_pg_snp	n_truth_snp	n_overlap	n_no_truth_record	n_truth_missing	n_pg_missing	n_matched	n_concordant	n_nonref_either	n_nonref_disc	GC	nRD
loo	9416	3901027	3235480	1655459	2245568	0	2	1655457	1646090	236359	9367	0.994342	0.03963
loo	9470	3901027	3235480	1655459	2245568	0	1	1655458	1647626	220537	7832	0.995269	0.035513
loo	9506	3901027	3235480	1655459	2245568	0	5	1655454	1646764	227773	8690	0.994751	0.038152
loo	9518	3901027	3235480	1655459	2245568	0	0	1655459	1643241	284890	12218	0.99262	0.042887
loo	9537	3901027	3235480	1655459	2245568	0	0	1655459	1646107	232370	9352	0.994351	0.040246
loo	9542	3901027	3235480	1655459	2245568	0	2	1655457	1640070	322424	15387	0.990705	0.047723
loo	9549	3901027	3235480	1655459	2245568	0	1	1655458	1639552	316738	15906	0.990392	0.050218
loo	9555	3901027	3235480	1655459	2245568	0	4	1655455	1625133	334640	30322	0.981684	0.090611
loo	9557	3901027	3235480	1655459	2245568	0	1	1655458	1644722	265107	10736	0.993515	0.040497
loo	9559	3901027	3235480	1655459	2245568	0	1	1655458	1644142	236220	11316	0.993164	0.047904
loo	9564	3901027	3235480	1655459	2245568	0	4	1655455	1640976	263027	14479	0.991254	0.055048
loo	9565	3901027	3235480	1655459	2245568	0	0	1655459	1645087	230314	10372	0.993735	0.045034
loo	9594	3901027	3235480	1655459	2245568	0	1	1655458	1641784	268291	13674	0.99174	0.050967
loo	9600	3901027	3235480	1655459	2245568	0	1	1655458	1635662	330179	19796	0.988042	0.059955
loo	9606	3901027	3235480	1655459	2245568	0	6	1655453	1585252	281125	70201	0.957594	0.249715
loo	9637	3901027	3235480	1655459	2245568	0	1	1655458	1645622	244928	9836	0.994058	0.040159
loo	9653	3901027	3235480	1655459	2245568	0	2	1655457	1644263	219765	11194	0.993238	0.050936
loo	9758	3901027	3235480	1655459	2245568	0	0	1655459	1645461	246123	9998	0.993961	0.040622
loo	9759	3901027	3235480	1655459	2245568	0	1	1655458	1645689	232242	9769	0.994099	0.042064
loo	9879	3901027	3235480	1655459	2245568	0	1	1655458	1640337	320111	15121	0.990866	0.047237
loo	9947	3901027	3235480	1655459	2245568	0	0	1655459	1597413	347236	58046	0.964937	0.167166
main	100001	3901027	3235480	1655459	2245568	0	3	1655456	1575404	303116	80052	0.951644	0.264097
main	100002	3901027	3235480	1655459	2245568	0	6	1655453	1576542	303753	78911	0.952333	0.259787
main	10011	3901027	3235480	1655459	2245568	0	0	1655459	1627504	242184	27955	0.983113	0.115429
main	10013	3901027	3235480	1655459	2245568	0	0	1655459	1528372	284235	127087	0.923232	0.447119
main	10014	3901027	3235480	1655459	2245568	0	0	1655459	1605347	248949	50112	0.969729	0.201294
main	265	3901027	3235480	1655459	2245568	0	2	1655457	1642699	236872	12758	0.992293	0.05386
main	5151	3901027	3235480	1655459	2245568	0	1	1655458	1632097	217653	23361	0.985888	0.107331
main	5165	3901027	3235480	1655459	2245568	0	4	1655455	1631491	214863	23964	0.985524	0.111532
main	5768	3901027	3235480	1655459	2245568	0	1	1655458	1628334	216438	27124	0.983615	0.12532
main	6013	3901027	3235480	1655459	2245568	0	5	1655454	1630720	252840	24734	0.985059	0.097825
main	6025	3901027	3235480	1655459	2245568	0	3	1655456	1630562	250134	24894	0.984962	0.099523
main	6040	3901027	3235480	1655459	2245568	0	3	1655456	1635517	225567	19939	0.987956	0.088395
main	6073	3901027	3235480	1655459	2245568	0	2	1655457	1628491	222110	26966	0.983711	0.121408
main	6074	3901027	3235480	1655459	2245568	0	4	1655455	1624863	228920	30592	0.98152	0.133636
main	6108	3901027	3235480	1655459	2245568	0	1	1655458	1628099	215609	27359	0.983473	0.126892
main	6177	3901027	3235480	1655459	2245568	0	2	1655457	1635388	248563	20069	0.987877	0.08074
main	6180	3901027	3235480	1655459	2245568	0	1	1655458	1644243	77331	11215	0.993225	0.145026
main	6188	3901027	3235480	1655459	2245568	0	10	1655449	1623416	221459	32033	0.98065	0.144645
main	6195	3901027	3235480	1655459	2245568	0	0	1655459	1630060	223972	25399	0.984657	0.113403
main	6209	3901027	3235480	1655459	2245568	0	1	1655458	1635022	247615	20436	0.987655	0.082531
main	6216	3901027	3235480	1655459	2245568	0	0	1655459	1632318	249113	23141	0.986021	0.092894
main	6243	3901027	3235480	1655459	2245568	0	12	1655447	1621497	211568	33950	0.979492	0.160469
main	6940	3901027	3235480	1655459	2245568	0	1	1655458	1636441	181329	19017	0.988513	0.104876
main	6961	3901027	3235480	1655459	2245568	0	1	1655458	1612690	243725	42768	0.974165	0.175476
main	6987	3901027	3235480	1655459	2245568	0	1	1655458	1635488	206964	19970	0.987937	0.09649
main	7008	3901027	3235480	1655459	2245568	0	3	1655456	1637084	208187	18372	0.988902	0.088248
main	7013	3901027	3235480	1655459	2245568	0	2	1655457	1631952	217981	23505	0.985802	0.10783
main	7028	3901027	3235480	1655459	2245568	0	6	1655453	1627431	213650	28022	0.983073	0.131158
main	7031	3901027	3235480	1655459	2245568	0	5	1655454	1634575	195486	20879	0.987388	0.106806
main	7036	3901027	3235480	1655459	2245568	0	10	1655449	1639322	190941	16127	0.990258	0.084461
main	7062	3901027	3235480	1655459	2245568	0	1	1655458	1639927	187000	15531	0.990618	0.083053
main	7067	3901027	3235480	1655459	2245568	0	1	1655458	1650201	219211	5257	0.996824	0.023981
main	7071	3901027	3235480	1655459	2245568	0	1	1655458	1634249	213338	21209	0.987188	0.099415
main	7077	3901027	3235480	1655459	2245568	0	3	1655456	1611093	235463	44363	0.973202	0.188408
main	7103	3901027	3235480	1655459	2245568	0	4	1655455	1626426	221340	29029	0.982465	0.131151
main	7106	3901027	3235480	1655459	2245568	0	11	1655448	1633124	211433	22324	0.986515	0.105584
main	7125	3901027	3235480	1655459	2245568	0	1	1655458	1634127	207104	21331	0.987115	0.102997
main	7126	3901027	3235480	1655459	2245568	0	6	1655453	1628304	236749	27149	0.9836	0.114674
main	7165	3901027	3235480	1655459	2245568	0	2	1655457	1636883	209184	18574	0.98878	0.088793
main	7203	3901027	3235480	1655459	2245568	0	3	1655456	1634841	211537	20615	0.987547	0.097453
main	7209	3901027	3235480	1655459	2245568	0	4	1655455	1645743	213331	9712	0.994133	0.045525
main	7218	3901027	3235480	1655459	2245568	0	0	1655459	1632042	205625	23417	0.985855	0.113882
