panel	ecotype	run	source	layout	status	files
loo	9557	SRR1946155	ENA	PE	MISSING_OUTPUT	9557_1P_dedup.fq.gz;9557_2P_dedup.fq.gz
loo	9559	SRR1946157	ENA	PE	MISSING_OUTPUT	9559_1P_dedup.fq.gz;9559_2P_dedup.fq.gz
loo	9564	SRR1946161	ENA	PE	MISSING_OUTPUT	9564_1P_dedup.fq.gz;9564_2P_dedup.fq.gz
loo	9565	SRR1946162	ENA	MISSING_RAW	MISSING_RAW	NA
loo	9594	SRR1946186	ENA	PE	MISSING_OUTPUT	9594_1P_dedup.fq.gz;9594_2P_dedup.fq.gz
loo	9600	SRR1946192	ENA	PE	MISSING_OUTPUT	9600_1P_dedup.fq.gz;9600_2P_dedup.fq.gz
loo	9606	SRR1946195	ENA	PE	MISSING_OUTPUT	9606_1P_dedup.fq.gz;9606_2P_dedup.fq.gz
loo	9637	SRR1946223	ENA	PE	MISSING_OUTPUT	9637_1P_dedup.fq.gz;9637_2P_dedup.fq.gz
loo	9653	SRR1946237	ENA	PE	MISSING_OUTPUT	9653_1P_dedup.fq.gz;9653_2P_dedup.fq.gz
loo	9758	SRR1946326	ENA	PE	MISSING_OUTPUT	9758_1P_dedup.fq.gz;9758_2P_dedup.fq.gz
loo	9759	SRR1946327	ENA	PE	MISSING_OUTPUT	9759_1P_dedup.fq.gz;9759_2P_dedup.fq.gz
loo	9764	SRR1946330	ENA	PE	MISSING_OUTPUT	9764_1P_dedup.fq.gz;9764_2P_dedup.fq.gz
loo	9837	SRR1946398	ENA	PE	MISSING_OUTPUT	9837_1P_dedup.fq.gz;9837_2P_dedup.fq.gz
loo	9879	SRR1946436	ENA	PE	MISSING_OUTPUT	9879_1P_dedup.fq.gz;9879_2P_dedup.fq.gz
loo	9910	SRR1946462	ENA	PE	MISSING_OUTPUT	9910_1P_dedup.fq.gz;9910_2P_dedup.fq.gz
loo	9947	SRR1946490	ENA	SE	MISSING_OUTPUT	9947_dedup.fq.gz
