panel	ecotype	layout	trim_in	trim_both_surv	trim_fwd_only	trim_rev_only	trim_surv	trim_dropped	trim_drop_pct
main	9596	PE	13564798	10974778	498681	994272		1097067	8.09
main	9597	PE	19448504	15606971	1528243	654218		1659072	8.53
main	9598	PE	15507881	12097015	410513	1532801		1467552	9.46
main	9602	PE	24695605	21057803	1160431	718687		1758684	7.12
main	9612	PE	12137934	11336375	220137	316169		265253	2.19
main	9619	PE	11421165	10759667	193069	308204		160225	1.4
main	9625	PE	13765135	12788117	251374	411471		314173	2.28
main	9629	PE	12233761	11413685	367074	227932		225070	1.84
main	9632	PE	9797583	9212433	163410	275330		146410	1.49
main	9634	PE	12469416	11653317	329134	233362		253603	2.03
main	9640	PE	12490673	11788756	294848	237872		169197	1.35
main	9643	PE	11965001	11212589	316255	236903		199254	1.67
main	9649	PE	12901017	11978105	239874	380522		302516	2.34
main	9657	PE	10334084	9698121	284938	178628		172397	1.67
main	9659	PE	13940449	13007075	341344	296516		295514	2.12
main	9697	PE	21745054	20115074	409609	683288		537083	2.47
main	9698	PE	14331777	13258035	259631	449011		365100	2.55
main	9699	PE	11314652	10623091	201828	316841		172892	1.53
main	9713	PE	11974812	11260498	304449	247370		162495	1.36
main	9716	PE	11027863	10337874	287010	212113		190866	1.73
main	9719	PE	9725605	9138914	277812	179975		128904	1.33
main	9723	PE	8835556	8174415	316810	147667		196664	2.23
main	9726	PE	11164743	10478983	202197	295688		187875	1.68
main	9736	PE	10261930	9543045	191840	292497		234548	2.29
main	9737	PE	10003075	9421577	244467	184334		152697	1.53
main	9739	PE	15234030	15223981	9720	329		0	0.0
main	9741	PE	12431135	11590757	260587	297491		282300	2.27
main	9743	PE	10729522	9983022	303066	199560		243874	2.27
main	9748	PE	10484877	9766241	181932	332386		204318	1.95
main	9749	PE	11104869	10445382	237525	279552		142410	1.28
main	9761	PE	14726330	13018732	354670	593885		759043	5.15
main	9766	PE	8840648	8023545	319850	329257		167996	1.9
main	9769	PE	27839032	22565055	886760	1907962		2479255	8.91
main	9774	PE	24312469	19412556	1566759	904184		2428970	9.99
main	9775	PE	28393385	22416706	2015659	963549		2997471	10.56
main	9779	PE	20094605	18032322	433626	796129		832528	4.14
main	9781	PE	19372365	17215355	795820	444722		916468	4.73
main	9782	PE	22068541	19706918	523191	833272		1005160	4.55
main	9784	PE	22327294	19905448	537662	834968		1049216	4.7
main	9803	PE	18921250	17066111	379469	712800		762870	4.03
main	9804	PE	20166960	18055028	762798	463916		885218	4.39
main	9813	PE	10728251	10091456	319847	214303		102645	0.96
main	9814	PE	10693723	10021509	309974	206355		155885	1.46
main	9820	PE	12147314	11200572	195880	382849		368013	3.03
main	9857	PE	7608218	7288478	123982	127979		67779	0.89
main	9920	PE	21325542	19547193	451382	658453		668514	3.13
main	9921	PE	13009259	11902668	462453	233266		410872	3.16
main	9925	PE	14029835	12951438	455179	221178		402040	2.87
main	9933	PE	18961214	17381925	668473	309366		601450	3.17
main	9941	SE	25955116				17737927	8217189	31.66
main	9944	SE	50714056				33283540	17430516	34.37
main	9965	SE	70806874				65399952	5406922	7.64
main	9966	SE	26359926				24792319	1567607	5.95
main	9977	PE	10270404	1974979	5688139	435599		2171687	21.15
main	9978	SE	31333908				31161020	172888	0.55
main	9985	SE	25575300				17482653	8092647	31.64
main	10011	SE	56978496				47955441	9023055	15.84
main	10013	SE	23391786				17895079	5496707	23.5
main	10014	SE	54599208				39836845	14762363	27.04
main	100001	PE	7303944	6771685	275270	218628		38361	0.53
main	100002	PE	8159065	7429317	601498	71888		56362	0.69
