panel	ecotype	reads_in	reads_out	dup_count	dup_pct	log
main	9547	29955096	28356576	1598520	5.336	prep_58165_79.err,prep_58165_79.out
main	9548	38566310	36600988	1965322	5.096	prep_58045_80.err,prep_58045_80.out
main	9560	28463952	27818434	645518	2.268	prep_58045_81.err,prep_58045_81.out
main	9562	24242912	23891762	351150	1.448	prep_58045_82.err,prep_58045_82.out
main	9574	30548792	29464408	1084384	3.55	prep_58045_83.err,prep_58045_83.out
main	9577	32292452	31426000	866452	2.683	prep_58045_84.err,prep_58045_84.out
main	9579	27190936	26752248	438688	1.613	prep_58045_85.err,prep_58045_85.out
main	9584	28216716	27140194	1076522	3.815	prep_58045_86.err,prep_58045_86.out
main	9586	29893138	28363086	1530052	5.118	prep_58045_87.err,prep_58045_87.out
main	9587	28907194	28318026	589168	2.038	prep_58045_88.err,prep_58045_88.out
main	9591	30969562	30096658	872904	2.819	prep_58045_89.err,prep_58045_89.out
main	9595	25938724	25495978	442746	1.707	prep_58045_90.err,prep_58045_90.out
main	9596	21949556	21744666	204890	0.933	prep_58045_91.err,prep_58045_91.out
main	9597	31213942	30698048	515894	1.653	prep_58045_92.err,prep_58045_92.out
main	9598	24194030	23715372	478658	1.978	prep_58045_93.err,prep_58045_93.out
main	9602	42115606	39763520	2352086	5.585	prep_58045_94.err,prep_58045_94.out
main	9612	22672750	21083048	1589702	7.012	prep_58045_95.err,prep_58045_95.out
main	9619	21519334	21011640	507694	2.359	prep_58045_96.err,prep_58045_96.out
main	9625	25576234	24292934	1283300	5.018	prep_58045_97.err,prep_58045_97.out
main	9629	22827370	22390046	437324	1.916	prep_58045_98.err,prep_58045_98.out
main	9632	18424866	17513634	911232	4.946	prep_58045_99.err,prep_58045_99.out
main	9634	23306634	21764684	1541950	6.616	prep_58045_100.err,prep_58045_100.out
main	9640	23577512	22651522	925990	3.927	prep_58045_101.err,prep_58045_101.out
main	9643	22425178	21068738	1356440	6.049	prep_58045_102.err,prep_58045_102.out
main	9649	23956210	22836988	1119222	4.672	prep_58045_103.err,prep_58045_103.out
main	9657	19396242	18487656	908586	4.684	prep_58045_104.err,prep_58045_104.out
main	9659	26014150	24571664	1442486	5.545	prep_58045_105.err,prep_58045_105.out
main	9697	40230148	36298008	3932140	9.774	prep_58045_106.err,prep_58045_106.out
main	9698	26516070	24968444	1547626	5.837	prep_58045_107.err,prep_58045_107.out
main	9699	21246182	20562828	683354	3.216	prep_58045_108.err,prep_58045_108.out
main	9713	22520996	21966448	554548	2.462	prep_58045_109.err,prep_58045_109.out
main	9716	20675748	19856358	819390	3.963	prep_58045_110.err,prep_58045_110.out
