panel	ecotype	run	source	layout	status	files
main	9584	SRR1946176	ENA	PE	OK	9584_1.dedup.fq.gz;9584_2.dedup.fq.gz
main	9586	SRR1946178	ENA	PE	OK	9586_1.dedup.fq.gz;9586_2.dedup.fq.gz
main	9587	SRR1946179	ENA	PE	OK	9587_1.dedup.fq.gz;9587_2.dedup.fq.gz
main	9591	SRR1946183	ENA	PE	OK	9591_1.dedup.fq.gz;9591_2.dedup.fq.gz
main	9595	SRR1946187	ENA	PE	OK	9595_1.dedup.fq.gz;9595_2.dedup.fq.gz
main	9596	SRR1946188	ENA	PE	OK	9596_1.dedup.fq.gz;9596_2.dedup.fq.gz
main	9597	SRR1946189	ENA	PE	OK	9597_1.dedup.fq.gz;9597_2.dedup.fq.gz
main	9598	SRR1946190	ENA	PE	OK	9598_1.dedup.fq.gz;9598_2.dedup.fq.gz
main	9602	SRR1946194	ENA	PE	OK	9602_1.dedup.fq.gz;9602_2.dedup.fq.gz
main	9612	SRR1946201	ENA	PE	OK	9612_1.dedup.fq.gz;9612_2.dedup.fq.gz
main	9619	SRR1946206	ENA	PE	OK	9619_1.dedup.fq.gz;9619_2.dedup.fq.gz
main	9625	SRR1946211	ENA	PE	OK	9625_1.dedup.fq.gz;9625_2.dedup.fq.gz
main	9629	SRR1946215	ENA	PE	OK	9629_1.dedup.fq.gz;9629_2.dedup.fq.gz
main	9632	SRR1946218	ENA	PE	OK	9632_1.dedup.fq.gz;9632_2.dedup.fq.gz
main	9634	SRR1946220	ENA	PE	OK	9634_1.dedup.fq.gz;9634_2.dedup.fq.gz
main	9640	SRR1946226	ENA	PE	OK	9640_1.dedup.fq.gz;9640_2.dedup.fq.gz
main	9643	SRR1946229	ENA	PE	OK	9643_1.dedup.fq.gz;9643_2.dedup.fq.gz
main	9649	SRR1946235	ENA	PE	OK	9649_1.dedup.fq.gz;9649_2.dedup.fq.gz
main	9657	SRR1946240	ENA	PE	OK	9657_1.dedup.fq.gz;9657_2.dedup.fq.gz
main	9659	SRR1946242	ENA	PE	OK	9659_1.dedup.fq.gz;9659_2.dedup.fq.gz
