gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,47,4,1.0560547132230709,0.001265900271972346,0.7357687864177482
1_100,45,4,2.8128383712172753,0.0010743284495865538,0.2800747846375564
1_1006,2,0,2.6783376863872133,1.0,0.10238242513846818
1_1009,2,2,4.090478347523317,0.00010000000000000018,0.010334568723427306
1_1010,8,1,2.2187033303474095,0.07725530557207996,0.20965123133505792
1_1013,2,0,0.8372306033870242,1.0,0.5380397933698976
1_1014,2,0,-0.8570431239072629,1.0,0.9115458597165316
1_1020,1,0,1.8403440641515816,1.0,0.2522722966541391
1_1024,1,0,-0.21444635023398642,1.0,0.8045791068819905
1_1026,13,3,2.4431180730319375,0.00026530529471721815,0.19106883777335926
1_1032,3,0,0.07594031365927496,1.0,0.7504858950213293
1_1037,23,7,3.3592555896563914,2.130298283970376e-09,0.09055832641503958
1_1040,1,0,2.046884808716351,1.0,0.20591164332590606
1_1041,7,1,-0.676985854821745,0.06793465209301006,0.9019239410780375
1_1042,9,3,3.087593852517025,8.029476538112821e-05,0.07760645741157157
1_1044,3,0,-0.27302020869792143,1.0,0.8248133676775979
1_1046,2,0,0.9988401832880319,1.0,0.49034764762263505
1_1048,1,0,-0.3450776438108127,1.0,0.830229014671932
1_1050,8,1,0.06477250504218367,0.07725530557207996,0.77803409148549
1_1054,3,1,1.8546428628886782,0.029701000000000026,0.26165265471670796
1_1055,1,0,-0.42318715194050927,1.0,0.8444837877012004
1_1058,19,4,0.3308191597674596,3.437030184053091e-05,0.7714163851639175
1_1059,6,3,4.407553044406869,1.955359000000005e-05,0.007081819761284858
1_106,19,4,-0.8855122360571853,3.437030184053091e-05,0.9463411570762156
1_1062,1,0,2.3232361828081474,1.0,0.152481450473558
1_1064,56,4,4.52783037866562,0.0024278501662644888,0.05988429616978608
1_1066,12,2,0.4071117759934096,0.006174537772824754,0.7192007469394848
1_1067,33,0,1.56413360787486,1.0,0.5351525458513191
1_1068,1,0,-0.3567204694374859,1.0,0.8324053639328648
1_1070,2,0,-0.22715143267349178,1.0,0.8116021433523624
1_1071,6,0,1.4310729986379362,1.0,0.3939345542244307
1_1072,1,0,-0.6596891980331587,1.0,0.8827081240230208
1_1073,42,6,3.1254212046634255,3.851730828491433e-06,0.19998130211665377
1_1074,3,0,0.6510148615253413,1.0,0.5991310750882521
1_1077,25,2,1.777997401253235,0.025759105399048503,0.4258350200247979
1_1078,139,14,5.8213688343752406,1.8202615871163706e-10,0.09331359249887738
1_1079,149,5,2.9389309910329464,0.017528285802268992,0.6659065618737154
1_1080,12,3,-0.7765311444091582,0.00020561607776663676,0.9246661681588622
1_1081,2,0,-0.526620030939075,1.0,0.8655529196133995
1_1082,19,2,0.5926850469190499,0.015273761488896639,0.7112002280413612
1_1086,5,0,2.4819464030989935,1.0,0.14445063018428794
1_1087,3,0,1.1894893157975324,1.0,0.4416533854071102
