gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,46,2,-0.8421947735904077,0.07753104520738682,0.6717157787068755
1_100,42,5,-5.24874765099239,6.250095832629931e-05,0.9967961005779775
1_1006,2,1,2.4369402823286737,0.01990000000000002,0.112510448277926
1_1009,2,1,0.4514289853749972,0.01990000000000002,0.4493168610265006
1_1010,8,4,2.3949781084595023,6.778784035000024e-07,0.11600257037593686
1_1013,2,0,-0.8108340184870381,1.0,0.7132681612320115
1_1014,2,1,2.0589450972304935,0.01990000000000002,0.1570742579630231
1_1020,1,1,2.8254720951112855,0.010000000000000009,0.07703893195492473
1_1024,1,0,0.12987616768007978,1.0,0.5204372339534113
1_1026,13,3,0.0880566864748038,0.00026530529471721815,0.5166837898718246
1_1032,3,0,-2.1335039351504155,1.0,0.9000226075042385
1_1037,22,3,-4.912194405954193,0.0013356291937811095,0.9962385763933297
1_1040,1,0,-1.3848622237400767,1.0,0.8108292188279754
1_1041,7,1,-0.5265136517531797,0.06793465209301006,0.6521588672384657
1_1042,9,3,3.380887384074405,8.029476538112821e-05,0.0418663806471643
1_1044,3,0,1.110358857355626,1.0,0.31217507211229845
1_1046,2,0,-0.129662801022471,1.0,0.5755091474380468
1_1048,1,0,-2.2243048592587535,1.0,0.910001591097618
1_1050,8,2,0.38672414659943716,0.0026900777395207046,0.45742447834496436
1_1054,3,1,-0.5896501935785255,0.029701000000000026,0.6695347429855399
1_1055,1,0,1.211362303850131,1.0,0.2942061653101733
1_1058,19,3,-1.5954610011757955,0.0008594328820314674,0.8222840975966843
1_1059,4,1,-0.7619593924010237,0.039403990000000035,0.7016804945443688
1_106,14,3,0.08477106239122136,0.0003351416785493981,0.5163684547313007
1_1062,1,0,-3.2439123992179346,1.0,0.9712348313891663
1_1064,55,6,-5.697402319580313,1.9048860085736675e-05,0.9980018724433185
1_1066,12,3,-0.10529883148842353,0.00020561607776663676,0.5590475519100109
1_1067,31,3,1.5566659691569849,0.003646012208816228,0.22063354138890134
1_1068,1,0,1.2632445694511216,1.0,0.28448911467357774
1_1070,2,0,-0.5577629248017093,1.0,0.664417777030395
1_1071,3,0,-0.5659336349369344,1.0,0.6648287248713447
1_1072,1,0,1.0827142881953726,1.0,0.318937978138949
1_1073,40,8,-1.3882489185742992,5.782125839524193e-09,0.7712187323972948
1_1074,3,0,-0.4709053015489917,1.0,0.6457181728297692
1_1077,22,4,-1.303650334160123,6.332951307430326e-05,0.7757835954395627
1_1078,131,15,-3.3224471922129237,6.4180149412824534e-12,0.9226733603652825
1_1079,138,15,-2.981157694134929,1.3710611294900256e-11,0.8945024627770113
1_1080,11,3,0.25046994850725396,0.00015537262915503648,0.48380484606702145
1_1081,2,0,-1.0769420221038184,1.0,0.7606810550137895
1_1082,18,2,-1.1965683473747608,0.013756463740805566,0.7626881476239473
1_1086,5,0,-3.4016264255996282,1.0,0.9751656465346835
1_1087,3,1,3.1756067680083215,0.029701000000000026,0.05288913319561683
1_1089,8,1,-1.4044867225522402,0.07725530557207996,0.8061356850328205
1_109,5,1,1.391707780108537,0.049009950100000046,0.2589244328558916
1_1092,1,1,2.4637097325189954,0.010000000000000009,0.10988922312345062
1_1095,1,0,-2.0223802869365133,1.0,0.8906813436517791
1_1096,1,0,2.2080734419785957,1.0,0.1384981944698367
1_11,60,10,-1.6640019724232524,4.779785909281265e-10,0.7947513965190758
1_110,3,0,0.7475334448442815,1.0,0.3853090440072431
1_1109,1,0,0.9396387356732651,1.0,0.34741816278325544
1_1119,2,1,2.2052234912689315,0.01990000000000002,0.13861641968641747
1_112,1,1,3.1736429333680487,0.010000000000000009,0.0530485892052045
1_1122,31,4,-2.825457891157618,0.0002535490128358903,0.9363104298446107
1_1123,19,2,-1.5370269035899826,0.015273761488896639,0.8140607071729862
