gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,47,2,1.890659810568123,0.08045749844328065,0.5665099029835482
1_100,45,3,3.994693095404511,0.010378132789533654,0.08852675811476118
1_1006,2,0,2.182830331662711,1.0,0.15583405761897473
1_1009,2,0,1.5321606874613607,1.0,0.31096127088416703
1_1010,8,0,2.2921514258835067,1.0,0.17308930431382075
1_1013,2,0,0.6502097075305059,1.0,0.5830921543780708
1_1014,2,0,-1.496250110374528,1.0,0.972608574124529
1_1020,1,0,1.6433441136375913,1.0,0.27188708725506605
1_1024,1,0,-2.344707726320691,1.0,0.9950849758536295
1_1026,13,0,0.6190173274559053,1.0,0.6809702124361093
1_1032,3,0,0.16287950368282308,1.0,0.7322276451382967
1_1037,23,4,4.9953082932125055,7.60525098813713e-05,0.004541359474980244
1_1040,1,0,1.3022303004339304,1.0,0.3690542284759941
1_1041,7,0,0.036021251305389565,1.0,0.788822599764652
1_1042,9,0,2.2448647961792823,1.0,0.18945631626404458
1_1044,3,0,0.8912458865587638,1.0,0.5163117704031108
1_1046,2,0,1.5959752947559802,1.0,0.2932244046747583
1_1048,1,0,-1.4799132469206768,1.0,0.9706381954385618
1_1050,8,0,-0.03929759272172051,1.0,0.8109055907649514
1_1054,3,0,2.3987580117895257,1.0,0.12368228217016175
1_1055,1,0,-1.5483064178850658,1.0,0.9741091669367498
1_1058,19,1,0.31749163311571366,0.1738313761644134,0.7929858830587715
1_1059,6,0,1.8073441100267158,1.0,0.27034325501241163
1_106,19,2,1.6306523352246054,0.015273761488896639,0.4299033775583111
1_1062,1,0,2.3202632659263283,1.0,0.12540511052383618
1_1064,56,2,4.863395367671877,0.10820013753576062,0.04215414628194358
1_1066,12,0,-0.7115045954166073,1.0,0.9302706153345873
1_1067,33,0,1.9196511297616679,1.0,0.45762770787487206
1_1068,1,0,-1.1553659486195866,1.0,0.9485281667438239
1_1070,2,0,-1.553760565349958,1.0,0.9753756235913529
1_1071,6,1,2.7873571490613798,0.058519850599000056,0.08333451150217419
1_1072,1,0,-1.2454700990119005,1.0,0.9556967775682126
1_1073,42,3,2.885623244849839,0.008583853799733485,0.2657077302118719
1_1074,3,0,1.7591609767149325,1.0,0.2582876047028225
1_1077,25,1,1.5604102434145268,0.2221786406008534,0.5001336809200129
1_1078,139,19,4.951743901132877,3.765043160425331e-16,0.28279315605290867
1_1079,149,10,2.9294108232284355,3.089278244326244e-06,0.7536624036334612
1_1080,12,1,-0.342959173816504,0.11361512828387083,0.8835885150487238
1_1081,2,0,-0.42326004995819116,1.0,0.8566510701088124
