gene,SNPs,hits,Z,top_candidate_p,Z_pVal
1_0,47,4,1.115111841114604,0.001265900271972346,0.7135238196904607
1_100,45,3,3.043587073823281,0.010378132789533654,0.21262344056574056
1_1006,2,0,1.934922320721994,1.0,0.18866601930712878
1_1009,2,1,1.2254777130424228,0.01990000000000002,0.3702393259554595
1_1010,8,0,2.668194366571924,1.0,0.09626665912250942
1_1013,2,0,-1.2047864146629839,1.0,0.9404242758822128
1_1014,2,0,1.2223050844769123,1.0,0.3711712749402376
1_1020,1,0,1.3021298868146434,1.0,0.33965973337614974
1_1024,1,0,-0.9280049537424321,1.0,0.9075462132030185
1_1026,13,2,1.583254774770691,0.00724894367793522,0.3565959118206945
1_1032,3,0,0.6167684399840967,1.0,0.5646738078028832
1_1037,23,6,4.332982738399999,8.722288482649804e-08,0.014602510112626033
1_1040,1,0,-0.6967417912589707,1.0,0.873987117516354
1_1041,7,1,0.3757888837768085,0.06793465209301006,0.665877991660661
1_1042,9,2,1.700071937902886,0.0034357300178462975,0.2940346560196839
1_1044,3,0,0.0853587347418644,1.0,0.7172773021105867
1_1046,2,0,0.07344274894557665,1.0,0.7137943828287252
1_1048,1,0,-0.7929106876611741,1.0,0.8888511004347946
1_1050,8,0,-0.9313852793398449,1.0,0.9259457020760461
1_1054,3,1,0.957331576151767,0.029701000000000026,0.45970756087770004
1_1055,1,0,0.05005595315183947,1.0,0.7132985987036865
1_1058,19,3,-0.6935726390219971,0.0008594328820314674,0.924987401323019
1_1059,6,1,1.5014069008860766,0.058519850599000056,0.3242991513056136
1_106,19,3,1.0157111293867087,0.0008594328820314674,0.5692137833617347
1_1062,1,0,2.229639580010832,1.0,0.12782826004795056
1_1064,56,3,3.9282481254114865,0.018700509761571584,0.11465122273566863
1_1066,12,2,1.5588031751695692,0.006174537772824754,0.3556566556559392
1_1067,33,1,1.7574425729690677,0.2822694674017251,0.45611573970830877
1_1068,1,0,1.0167940357604963,1.0,0.42431345059438885
1_1070,2,0,-0.2748549477807233,1.0,0.7982284905923841
1_1071,6,1,1.1117482003019563,0.058519850599000056,0.4378854574666049
1_1072,1,0,0.05143419142781798,1.0,0.7129325486971064
1_1073,42,4,3.351683879297378,0.0008264843165214276,0.14303193849059115
1_1074,3,0,1.1562780593420539,1.0,0.39921041998452156
1_1077,25,2,2.3736821917045234,0.025759105399048503,0.24018361193368398
1_1078,139,13,6.921862210151905,2.0168304744266767e-09,0.03269721305818041
1_1079,149,9,3.259933764202197,2.218149577577932e-05,0.6167683284076126
1_1080,12,3,-0.7801098841154358,0.00020561607776663676,0.9186031576401794
1_1081,2,0,0.2948292608102248,1.0,0.6526086006952727
1_1082,19,3,0.6891781582703864,0.0008594328820314674,0.6613116101343247
1_1086,5,1,2.7216706737847383,0.049009950100000046,0.07806244481162605
1_1087,3,0,1.714400503360706,1.0,0.24571346934824367
1_1089,8,1,1.669413492135678,0.07725530557207996,0.29451211205431915
1_109,5,0,0.7109385683528338,1.0,0.5521968771856668
1_1092,1,0,1.3287990369858722,1.0,0.33207520457902995
1_1095,1,0,0.7854449411329787,1.0,0.4958305706483461
1_1096,1,0,1.011882578546518,1.0,0.42581445607695656
1_11,63,7,5.863836679091079,3.3888085411008414e-06,0.009137352486734085
1_110,3,0,0.7754614529654072,1.0,0.5158788935040979
1_1109,1,0,0.6315085508633231,1.0,0.5436355156731016
1_1119,2,1,1.117934670659849,0.01990000000000002,0.4022206719740027
1_112,1,0,0.3366937173007823,1.0,0.6328874223992378
1_1122,34,5,5.325841388247082,2.184798788405562e-05,0.004292971445964855
1_1123,19,4,0.0767311060895616,3.437030184053091e-05,0.8076660543213919
1_1126,17,2,1.2434612217365648,0.012308985529944274,0.48697448089663664
1_1127,8,0,1.6266127069588423,1.0,0.3058812296876773
1_1128,2,0,1.252305188710396,1.0,0.36238977299554387
1_1130,1,0,1.5014866386592345,1.0,0.28472497010246767
1_1132,5,1,0.6208134946733547,0.049009950100000046,0.5795188436161669
1_1136,11,1,2.6909047889082482,0.10466174574128365,0.10594257476646851
1_1141,1,0,0.18934138674214532,1.0,0.6752382827815026
1_1142,1,0,-0.10629714086368545,1.0,0.7533218000362205
1_1143,2,0,1.3732019764642895,1.0,0.32777072056477985
1_1145,1,0,-0.9854194900737017,1.0,0.9147455200187047
1_1147,3,0,1.288646880904311,1.0,0.3601708891599208
1_1148,8,0,-0.13711030875574284,1.0,0.7994268784374366
1_1149,6,0,1.7658602048551366,1.0,0.25498261661934174
1_115,1,0,0.771908268067277,1.0,0.5000419983801148
1_1151,29,4,1.3212691891188477,0.0001944605220856772,0.5524069195105303
1_1154,227,15,4.702350204773702,1.4289415301769462e-08,0.47002129894198574
1_1155,1,0,1.6715930306667164,1.0,0.24148912040849912
1_1156,4,0,2.4780809187073096,1.0,0.10470941182895976
1_1157,66,4,4.41669853677323,0.004403453407134823,0.0882589982690547
1_1158,1,0,-1.3392972612099439,1.0,0.9501741408567593
1_1159,1,0,-0.823030094171749,1.0,0.893237279857785
1_1160,2,0,-1.2478775191612497,1.0,0.9442906933720909
1_1161,1,0,-0.7301868163405899,1.0,0.879306128426323
1_1162,1,0,1.298920015236024,1.0,0.34057706897547946
1_1163,62,5,1.9249584276153215,0.0004029577704085438,0.590713123134317
1_1164,1,0,-0.2863073880879979,1.0,0.7954171023624386
1_1168,1,0,1.2025901532310515,1.0,0.36852398125742036
1_117,2,1,0.46631231303603615,0.01990000000000002,0.6021986898341793
1_1171,3,0,-0.4974524838955514,1.0,0.8476862153808761
1_1172,1,0,1.9841949617530594,1.0,0.17225148502716414
1_1175,1,0,0.8268175521349934,1.0,0.48296390876318573
1_1177,5,0,0.6988904353760443,1.0,0.5558666639093237
1_1178,2,0,0.6136669216989186,1.0,0.5574361121022828
1_1179,1,0,-0.42759267479431656,1.0,0.825246225149998
1_1180,7,0,1.8387345491079954,1.0,0.24442919736176272
1_1182,10,0,1.3833641295583174,1.0,0.39000280962629286
1_1185,12,0,1.0114729338504171,1.0,0.5172010142027378
1_119,4,0,2.4118091793183556,1.0,0.11430538870937057
